number,train_f1score,valid_f1score,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,system_attrs_nsga2:generation,state
0,0.9411634678218215,0.5141929435850461,2024-10-08 13:57:07.401709,2024-10-08 14:07:32.244448,0 days 00:10:24.842739,0.0699866918305476,8,0.8742144637669689,299,0,COMPLETE
1,0.5440985654510482,0.5263098217855977,2024-10-08 14:07:32.245028,2024-10-08 14:08:44.653523,0 days 00:01:12.408495,0.08348947560892629,3,0.6079727772214795,83,0,COMPLETE
2,0.5396392077907363,0.5168616244840681,2024-10-08 14:08:44.654437,2024-10-08 14:13:02.348520,0 days 00:04:17.694083,0.01499269703035155,4,0.5585524482559776,230,0,COMPLETE
3,0.6468238216061956,0.536607535095004,2024-10-08 14:13:02.349202,2024-10-08 14:17:20.333011,0 days 00:04:17.983809,0.07287002097372712,5,0.7419352639504808,191,0,COMPLETE
4,0.9110920342431446,0.5210285490056091,2024-10-08 14:17:20.333368,2024-10-08 14:26:07.655610,0 days 00:08:47.322242,0.09769049948208294,7,0.7909328005197502,288,0,COMPLETE
5,0.6145515600927152,0.5348505799099474,2024-10-08 14:26:07.655984,2024-10-08 14:31:04.952968,0 days 00:04:57.296984,0.07327216918976312,4,0.832807532163585,266,0,COMPLETE
6,0.5769850419323025,0.5308943283165013,2024-10-08 14:31:04.953389,2024-10-08 14:38:01.823775,0 days 00:06:56.870386,0.0390255398806888,4,0.9174644455664842,281,0,COMPLETE
7,0.795517336993122,0.534330565853949,2024-10-08 14:38:01.824166,2024-10-08 14:57:48.761016,0 days 00:19:46.936850,0.007684461831556123,10,0.9583102927514848,239,0,COMPLETE
8,0.5670744966709782,0.531669493718234,2024-10-08 14:57:48.761956,2024-10-08 15:08:30.004534,0 days 00:10:41.242578,0.014146033259173876,5,0.7364511345511564,246,0,COMPLETE
9,0.6258152554644354,0.5366779416011845,2024-10-08 15:08:30.005320,2024-10-08 15:11:33.700318,0 days 00:03:03.694998,0.013218539967236802,8,0.9234701678321251,58,0,COMPLETE
10,0.6391630778046754,0.5336230549282166,2024-10-08 15:11:33.701095,2024-10-08 15:15:59.210923,0 days 00:04:25.509828,0.06378412660848029,5,0.740227524691063,195,0,COMPLETE
11,0.5069058174905127,0.5018624614875987,2024-10-08 15:15:59.211274,2024-10-08 15:18:18.587389,0 days 00:02:19.376115,0.0020913598836108764,4,0.6831863899781148,125,0,COMPLETE
12,0.7814443620641705,0.5362815589378136,2024-10-08 15:18:18.587799,2024-10-08 15:27:36.091144,0 days 00:09:17.503345,0.02660750487480286,8,0.5356071607778772,268,0,COMPLETE
13,0.7112009521196464,0.5374407698402267,2024-10-08 15:27:36.091606,2024-10-08 15:35:25.242873,0 days 00:07:49.151267,0.044258082472027074,6,0.6548985955727062,294,0,COMPLETE
14,0.5462404915000636,0.5287695144675265,2024-10-08 15:35:25.243232,2024-10-08 15:37:20.634345,0 days 00:01:55.391113,0.057491680054305834,3,0.8212076804176125,133,0,COMPLETE
15,0.8947041134948693,0.5272926014389627,2024-10-08 15:37:20.635021,2024-10-08 15:42:09.391944,0 days 00:04:48.756923,0.08261313221480428,9,0.9937279929876248,124,0,COMPLETE
16,0.7216850963526814,0.5307032250730944,2024-10-08 15:42:09.392695,2024-10-08 15:49:25.293260,0 days 00:07:15.900565,0.008649085394799302,9,0.5244827273093153,187,0,COMPLETE
