symbol,open,close,low,high,volume,amount,type,startTime,endTime
SPOT_ETH_USDT,3937.59,3939.09,3937.21,3940.8,691.124338,2722647.49479704,1m,1734011460000,1734011520000
SPOT_BTC_USDT,101040.99,101000.13,100992.34,101064.0,19.396586,1959573.38198141,1m,1734011460000,1734011520000
SPOT_ETH_USDT,3937.59,3939.06,3937.21,3940.8,691.213338,2722998.06669204,1m,1734011460000,1734011520000
SPOT_BTC_USDT,101040.99,101003.8,100992.34,101064.0,19.507876,1970813.28392461,1m,1734011460000,1734011520000
SPOT_ETH_USDT,3937.59,3939.21,3937.21,3940.8,698.634822,2752231.59632836,1m,1734011460000,1734011520000
SPOT_BTC_USDT,101040.99,101000.13,100986.3,101064.0,19.609736,1981099.77430491,1m,1734011460000,1734011520000
SPOT_ETH_USDT,3937.59,3939.2,3937.21,3940.8,698.636222,2752237.11120836,1m,1734011460000,1734011520000
SPOT_BTC_USDT,101040.99,101000.12,100986.3,101064.0,19.631783,1983326.60389111,1m,1734011460000,1734011520000
SPOT_WOO_USDT,0.3051,0.3052,0.305,0.306,21788.29,6654.367253,1m,1734011460000,1734011520000
SPOT_BTC_USDT,101040.99,100986.3,100986.3,101064.0,21.775142,2199805.70933931,1m,1734011460000,1734011520000
SPOT_ETH_USDT,3937.59,3938.72,3937.21,3940.8,709.889244,2796558.99285622,1m,1734011460000,1734011520000
SPOT_ETH_USDT,3938.32,3937.62,3937.61,3938.32,9.632854,37935.443645,1m,1734011520000,1734011580000
SPOT_BTC_USDT,101003.8,100985.3,100982.69,101003.8,0.561145,56671.69959399,1m,1734011520000,1734011580000
SPOT_ETH_USDT,3938.32,3937.68,3937.6,3938.32,12.278954,48355.171794,1m,1734011520000,1734011580000
SPOT_BTC_USDT,101003.8,100985.37,100982.69,101003.8,0.574657,58036.30259799,1m,1734011520000,1734011580000
SPOT_ETH_USDT,3938.32,3936.83,3936.83,3938.32,25.282811,99556.50742863,1m,1734011520000,1734011580000
SPOT_BTC_USDT,101003.8,100971.9,100970.58,101003.8,1.105232,111613.87241875,1m,1734011520000,1734011580000
SPOT_WOO_USDT,0.30491,0.30491,0.30491,0.30491,1487.5,453.553625,1m,1734011520000,1734011580000
SPOT_ETH_USDT,3938.32,3937.46,3936.73,3938.32,38.728507,152491.28744624,1m,1734011520000,1734011580000
SPOT_BTC_USDT,101003.8,100971.83,100969.38,101003.8,1.735315,175234.35157478,1m,1734011520000,1734011580000
SPOT_ETH_USDT,3938.32,3937.49,3936.73,3938.32,39.205212,154368.24360459,1m,1734011520000,1734011580000
SPOT_BTC_USDT,101003.8,100969.38,100969.38,101003.8,1.753955,177116.42090508,1m,1734011520000,1734011580000
SPOT_ETH_USDT,3938.32,3937.58,3936.73,3938.32,51.156812,201427.71328859,1m,1734011520000,1734011580000
SPOT_WOO_USDT,0.30491,0.3051,0.30491,0.3051,2324.5,708.922325,1m,1734011520000,1734011580000
SPOT_BTC_USDT,101003.8,100974.63,100969.38,101003.8,1.873466,189184.30357494,1m,1734011520000,1734011580000
SPOT_BTC_USDT,101003.8,100958.17,100951.82,101003.8,3.088164,311819.62057034,1m,1734011520000,1734011580000
SPOT_ETH_USDT,3938.32,3936.66,3936.66,3938.32,73.838767,290719.66308889,1m,1734011520000,1734011580000
SPOT_WOO_USDT,0.30491,0.305,0.30491,0.3051,3143.7,958.778325,1m,1734011520000,1734011580000
